iter	RMSE
0	19482.13884
1	16814.39002
2	14568.80452
3	12675.81075
4	11093.27623
5	9803.69467
6	8719.069674
7	7851.068681
8	7147.492032
9	6578.043066
10	6111.714333
11	5751.039936
12	5434.667065
13	5196.479827
14	5014.009048
15	4857.724353
16	4742.60648
17	4648.996819
18	4586.176176
19	4529.40897
20	4467.533802
21	4424.68776
22	4378.249279
23	4331.787665
24	4308.363308
25	4264.562879
26	4231.682972
27	4212.12462
28	4179.243977
29	4164.449914
30	4144.036236
31	4119.854339
32	4096.697685
33	4063.489102
34	4050.216337
35	4038.942786
36	4028.620584
37	4011.129823
38	3997.144684
39	3983.283401
40	3971.212885
41	3951.310585
42	3929.709435
43	3912.509119
44	3896.398237
45	3889.400014
46	3867.752419
47	3845.445235
48	3831.366746
49	3814.466009
50	3806.688391
51	3795.019556
52	3789.421875
53	3775.585667
54	3748.885486
55	3734.436664
56	3717.543757
57	3708.696478
58	3698.169169
59	3687.761137
60	3668.409281
61	3659.805662
62	3651.030069
63	3638.623903
64	3627.033067
65	3618.177109
66	3606.360111
67	3594.984633
68	3584.081218
69	3574.365516
70	3566.716534
71	3556.776701
72	3549.137556
73	3535.395292
74	3528.531793
75	3520.406737
76	3510.498254
77	3506.087583
78	3499.304627
79	3495.93459
80	3486.557068
81	3478.393183
82	3474.970612
83	3470.387524
84	3463.728204
85	3457.522024
86	3445.820192
87	3437.276188
88	3434.117958
89	3424.661332
90	3416.004566
91	3409.223791
92	3403.536409
93	3399.472746
94	3391.808665
95	3380.338844
96	3373.193083
97	3366.558307
98	3355.178295
99	3348.791728
100	3344.102227
101	3340.796044
102	3333.822798
103	3328.090187
104	3320.680534
105	3312.892376
106	3307.823658
107	3300.732026
108	3297.295643
109	3291.064417
110	3285.97946
111	3277.831786
112	3271.32319
113	3263.498472
114	3259.947466
115	3253.618216
116	3246.50905
117	3242.128597
118	3234.926373
119	3229.419669
120	3225.001969
121	3218.15402
122	3212.259205
123	3208.213221
124	3204.381083
125	3201.684467
126	3198.072249
127	3191.238856
128	3179.291322
129	3174.526743
130	3165.053949
131	3160.259803
132	3156.590878
133	3154.67993
134	3148.195958
135	3143.414561
136	3137.198187
137	3130.910116
138	3125.983603
139	3119.399551
140	3114.974281
141	3110.881902
142	3107.155568
143	3102.97557
144	3097.988664
145	3091.263745
146	3087.862216
147	3083.944637
148	3079.910602
149	3073.753273
150	3069.617038
151	3065.446141
152	3062.204955
153	3058.82744
154	3055.463963
155	3049.956288
156	3044.475142
157	3040.341578
158	3037.744218
159	3035.413879
160	3031.874137
161	3029.229575
162	3024.146302
163	3017.287825
164	3012.0662
165	3008.401758
166	3004.944738
167	3001.159079
168	2996.537473
169	2994.608721
170	2990.316547
171	2985.353719
172	2982.366104
173	2977.683769
174	2975.448377
175	2972.994149
176	2965.074824
177	2963.206589
178	2960.519188
179	2957.046408
180	2954.616437
181	2949.451412
182	2945.513306
183	2942.579678
184	2936.489805
185	2931.043934
186	2927.202456
187	2925.046447
188	2921.107801
189	2918.094719
190	2913.440537
191	2910.677301
192	2906.298475
193	2901.440348
194	2896.071092
195	2889.846242
196	2885.178836
197	2881.563046
198	2879.012694
199	2875.461876
