iter	Passed	Remaining
0	16	3289
1	27	2678
2	42	2792
3	56	2767
4	70	2749
5	84	2730
6	98	2724
7	112	2704
8	126	2694
9	140	2676
10	154	2662
11	168	2634
12	182	2621
13	195	2597
14	209	2578
15	222	2557
16	238	2563
17	252	2553
18	266	2538
19	280	2524
20	293	2503
21	306	2479
22	318	2454
23	331	2432
24	344	2413
25	358	2397
26	371	2381
27	385	2366
28	398	2349
29	412	2335
30	425	2318
31	438	2301
32	451	2284
33	464	2267
34	478	2254
35	491	2236
36	504	2220
37	516	2203
38	529	2186
39	542	2170
40	556	2156
41	569	2141
42	581	2124
43	595	2110
44	607	2093
45	620	2078
46	633	2063
47	646	2048
48	659	2032
49	672	2016
50	685	2003
51	698	1988
52	711	1973
53	723	1957
54	737	1944
55	751	1932
56	764	1917
57	778	1905
58	790	1889
59	803	1874
60	816	1859
61	829	1845
62	841	1830
63	854	1815
64	866	1799
65	879	1785
66	892	1771
67	905	1757
68	918	1743
69	931	1729
70	944	1715
71	959	1705
72	969	1687
73	980	1668
74	993	1655
75	1006	1642
76	1019	1628
77	1032	1614
78	1044	1600
79	1057	1586
80	1071	1573
81	1084	1559
82	1097	1546
83	1110	1533
84	1123	1520
85	1136	1506
86	1149	1493
87	1162	1479
88	1175	1465
89	1188	1452
90	1201	1438
91	1214	1425
92	1229	1414
93	1242	1401
94	1255	1388
95	1268	1374
96	1282	1361
97	1295	1348
98	1308	1334
99	1321	1321
100	1334	1307
101	1347	1294
102	1360	1280
103	1373	1267
104	1386	1254
105	1399	1241
106	1412	1227
107	1425	1213
108	1438	1200
109	1451	1187
110	1464	1173
111	1481	1164
112	1495	1151
113	1507	1137
114	1520	1124
115	1533	1110
116	1546	1097
117	1559	1083
118	1573	1070
119	1586	1057
120	1599	1044
121	1612	1031
122	1626	1017
123	1639	1004
124	1653	991
125	1666	978
126	1679	965
127	1692	952
128	1705	938
129	1719	925
130	1732	912
131	1745	899
132	1758	886
133	1772	872
134	1785	859
135	1798	846
136	1811	833
137	1824	819
138	1838	806
139	1850	793
140	1863	779
141	1876	766
142	1890	753
143	1903	740
144	1916	726
145	1929	713
146	1942	700
147	1956	687
148	1969	674
149	1982	660
150	1995	647
151	2008	634
152	2022	621
153	2035	608
154	2048	594
155	2062	581
156	2075	568
157	2089	555
158	2102	542
159	2115	528
160	2128	515
161	2141	502
162	2154	489
163	2167	475
164	2181	462
165	2194	449
166	2207	436
167	2220	423
168	2233	409
169	2246	396
170	2260	383
171	2272	370
172	2285	356
173	2298	343
174	2311	330
175	2325	317
176	2337	303
177	2350	290
178	2363	277
179	2377	264
180	2390	250
181	2404	237
182	2417	224
183	2430	211
184	2444	198
185	2457	184
186	2471	171
187	2484	158
188	2497	145
189	2510	132
190	2523	118
191	2535	105
192	2549	92
193	2563	79
194	2577	66
195	2590	52
196	2604	39
197	2617	26
198	2630	13
199	2643	0
